typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","300","GRC","Greece","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","23561","false","-1","N/A",,"false","18972","false",,"false",,"11027159","11027159","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","316","GUM","Guam","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1693","false","-1","N/A",,"false","2946","false",,"false",,"1837911","1837911","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","320","GTM","Guatemala","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","104","false","-1","N/A",,"false","1928","false",,"false",,"24928","24928","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","324","GIN","Guinea","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","41","false","-1","N/A",,"false","90","false",,"false",,"3407","3407","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","332","HTI","Haiti","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","88","false","-1","N/A",,"false","112","false",,"false",,"25229","25229","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","513209","false","-1","N/A",,"false","448314","false",,"false",,"367504260","367504260","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","348","HUN","Hungary","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","4128","false","-1","N/A",,"false","3214","false",,"false",,"1778580","1778580","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","352","ISL","Iceland","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","8","false","-1","N/A",,"false","16","false",,"false",,"2260","2260","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","360","IDN","Indonesia","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3584","false","-1","N/A",,"false","6489","false",,"false",,"1833811","1833811","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","372","IRL","Ireland","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","7748","false","-1","N/A",,"false","6272","false",,"false",,"3424789","3424789","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","376","ISR","Israel","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2714","false","-1","N/A",,"false","2008","false",,"false",,"1018080","1018080","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","380","ITA","Italy","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","438588","false","-1","N/A",,"false","392424","false",,"false",,"259755815","259755815","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","384","CIV","Côte d'Ivoire","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","10334","false","-1","N/A",,"false","8279","false",,"false",,"643717","643717","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","392","JPN","Japan","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","244203","false","-1","N/A",,"false","228867","false",,"false",,"137672192","137672192","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","398","KAZ","Kazakhstan","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","6160","false","-1","N/A",,"false","6634","false",,"false",,"4153594","4153594","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","400","JOR","Jordan","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","833","false","-1","N/A",,"false","347","false",,"false",,"60335","60335","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","404","KEN","Kenya","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","23","false","-1","N/A",,"false","17","false",,"false",,"1449","1449","0","true","false",
